개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
3040000,CDFH3301062018000001,20180117,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 광진구 자양동 227 7번지 더샵스타시티,서울특별시 광진구 아차산로 272 더샵스타시티 지하1층 B100 1호 (자양동),05065,(주)비스코 헬스케어,20200603091019,U,2019 12 06 00:05:00.0,-,206349.675048285,448396.939704285,-,-,-,-,-,-,-,-,-
3140000,CDFH3301062013000008,20131112,-,1,영업/정상,13,영업중,-,-,-,-,-,-,158860,서울특별시 양천구 신정동 995 4번지 302호,서울특별시 양천구 목동로 181 302호 (신정동),08022,Fitness2.0 PT Studio,20200603131539,U,2019 12 06 00:05:00.0,-,187943.595,446944.9,-,-,-,-,-,-,-,-,-
3180000,CDFH3301062004000003,20040219,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 영등포구 양평동5가 76번지,서울특별시 영등포구 양평로24길 9 (양평동5가 양평동한신아파트),07204,비타민헬스휘트니스,20200605175939,U,2019 12 06 00:07:00.0,-,190394.571819262,448656.726986041,-,-,-,-,-,-,-,-,-
3150000,CDFH3301062020000018,20200717,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 강서구 마곡동 798 12 마곡엠리체 3001302호,서울특별시 강서구 마곡중앙1로 26 마곡엠리체 301302호 (마곡동),07807,브이업짐,20200717154851,I,2019 12 06 23:09:00.0,-,-,-,-,-,-,-,-,-,-,-,-
3150000,CDFH3301062020000017,20200717,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 강서구 화곡동 1060 17 지하1층,서울특별시 강서구 화곡로 195 지하1층 (화곡동),07700,바디플렉스짐,20200717154835,I,2019 12 06 23:09:00.0,-,186014.355926895,449014.442062397,-,-,-,-,-,-,-,-,-
3140000,CDFH3301062017000002,20170315,-,1,영업/정상,13,영업중,-,-,-,-,02 2652 0887,-,-,서울특별시 양천구 목동 404 137번지 2층,서울특별시 양천구 신목로 98 2층 (목동),08007,FIT U.S.A(피투사),20200608173355,U,2019 12 05 23:00:00.0,-,188919.01389015,446786.559111612,-,-,-,-,-,-,-,-,-
3210000,CDFH3301062012000003,20120601,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 서초구 방배동 797 24번지 우림빌딩,서울특별시 서초구 동광로 101 우림빌딩 2층 (방배동),06584,the Fitness LAB,20200608180418,U,2019 12 05 23:00:00.0,-,199596.482123437,443179.818178612,-,-,-,-,-,-,-,-,-
3240000,CDFH3301062005000001,20050223,-,1,영업/정상,13,영업중,-,-,-,-,478 5222,-,-,서울특별시 강동구 성내동 430 12번지 601호,서울특별시 강동구 강동대로53길 80 (성내동),05405,짱휘트니스,20200603093120,U,2019 12 06 00:05:00.0,-,211680.853759912,447125.42728615,-,-,-,-,-,-,-,-,-
3100000,CDFH3301062004000003,20040521,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 노원구 공릉동 389 9번지 화랑빌딩,서울특별시 노원구 동일로192길 63 화랑빌딩 4층 (공릉동),01841,뉴크로핏,20200603144953,U,2019 12 06 00:05:00.0,-,206659.512758346,458320.518280138,-,-,-,-,-,-,-,-,-
3080000,CDFH3301062002000004,20021009,-,1,영업/정상,13,영업중,-,-,-,-,985 5757,-,-,서울특별시 강북구 미아동 310 4번지 5층,서울특별시 강북구 도봉로 167 5층 (미아동),01171,M 휘트니스,20200603180036,U,2019 12 06 00:05:00.0,-,202301.896655504,457919.42367741,-,-,-,-,-,-,-,-,-
3140000,CDFH3301062010000004,20100701,-,1,영업/정상,13,영업중,-,-,-,-,02 2606 9696,-,-,서울특별시 양천구 신월동 550 3번지 승일뷰티타워2 10층(1001호~1004호),서울특별시 양천구 신월로 164 1001~1004호 (신월동 승일뷰티타워2),08064,MH토탈휘트니스,20200608153743,U,2019 12 05 23:00:00.0,-,185962.809546697,446176.170952681,-,-,-,-,-,-,-,-,-
3010000,CDFH3301061998000007,19980805,-,1,영업/정상,13,영업중,-,-,-,-,-,-,100281,서울특별시 중구 인현동1가 102 5번지,-,-,벗 명보헬스클럽,20200608170706,U,2019 12 05 23:00:00.0,-,199345.537896557,451328.888559506,-,-,-,-,-,-,-,-,-
3000000,CDFH3301061997000002,19970626,-,1,영업/정상,13,영업중,-,-,-,-,02 763 4902,-,-,서울특별시 종로구 창신동 576번지 ,서울특별시 종로구 창신길 24 2층 (창신동),03106,박영길 휘트니스,20200527194611,U,2020 05 29 02:40:00.0,-,200889.400582142--,452273.742811659--,체력단련장업,사립,-,-,0,-,-,-,-
3000000,CDFH3301061995000003,19950621,-,1,영업/정상,13,영업중,-,-,-,-,02 738 7861,-,-,서울특별시 종로구 내자동 1 3번지 ,서울특별시 종로구 자하문로 3 (내자동),03041,경복궁휘트니스,20200304153548,U,2020 03 06 02:40:00.0,-,197482.188408438--,452684.539178659--,체력단련장업,사립,-,-,0,0,-,-,-
3000000,CDFH3301062002000001,20020114,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 종로구 낙원동 150 1번지 파고다빌딩 ,서울특별시 종로구 수표로26길 12 (낙원동),03139,파고다,20200304154351,U,2020 03 06 02:40:00.0,-,199028.829510033--,452167.894965375--,체력단련장업,사립,-,-,0,0,-,-,-
3000000,CDFH3301062002000002,20020116,-,1,영업/정상,13,영업중,-,-,-,-,02 740 4211,-,-,서울특별시 종로구 원남동 66 21번지 보령빌딩 ,서울특별시 종로구 창경궁로 136 (원남동),03127,보령헬스피아,20200103140143,U,2020 01 05 02:40:00.0,-,199749.709303956--,452471.681673191--,체력단련장업,사립,-,-,-,-,-,-,-
3000000,CDFH3301062007000001,20070820,-,1,영업/정상,13,영업중,-,-,-,-,02 2250 7141,-,-,서울특별시 종로구 숭인동 1388번지 동양파라빌 ,서울특별시 종로구 난계로 251 지하1층 (숭인동),03116,제이휘트니스,20200331104005,U,2020 04 02 02:40:00.0,-,201946.86632604-- ,452416.591916256--,체력단련장업,사립,-,1,-,-,-,-,-
3010000,CDFH3301062020000002,20200120,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 중구 신당동 52 228 준빌딩,서울특별시 중구 퇴계로86길 70 준빌딩 3층 (신당동),04585,베네핏,20210111155638,U,2020 11 30 23:03:00.0,-,201586.751099659,451144.829280191,-,-,-,-,-,-,-,-,-
3000000,CDFH3301062004000005,20040917,-,1,영업/정상,13,영업중,-,-,-,-,744 3373,-,110460,서울특별시 종로구 연건동 198 7번지 ,서울특별시 종로구 율곡로 202 7 (연건동),03127,제일메가스포,20141230175850,I,2018 08 31 23:59:59.0,-,200055.617260646--,452600.848170354--,체력단련장업,사립,-,-,-,-,-,-,-
3000000,CDFH3301062005000001,20050114,-,1,영업/정상,13,영업중,-,-,-,-,02 741 3303,-,110522,서울특별시 종로구 명륜2가 211번지 유니지오 빌딩 6층 ,서울특별시 종로구 성균관로 12 (명륜2가),03074,AB휘트니스클럽,20170807103342,I,2018 08 31 23:59:59.0,-,199769.96511678-- ,453520.42735819-- ,체력단련장업,사립,-,1,-,-,-,-,-
3010000,CDFH3301061999000003,19990731,-,1,영업/정상,13,영업중,-,-,-,-,-,-,100021,서울특별시 중구 명동1가 1 1번지 ,-,-,서울YMCA,20030211175200,I,2018 08 31 23:59:59.0,-,198707.250724717--,451387.703445455--,체력단련장업,사립,-,0,0,0,-,-,-
3000000,CDFH3301062010000002,20100331,-,1,영업/정상,13,영업중,-,-,-,-,02 742 0747,-,-,서울특별시 종로구 창신동 23 76 브라운스톤 지하1층,서울특별시 종로구 지봉로 81 지하1층 (창신동 브라운스톤 창신),03095,에이블짐창신역점,20200720190052,U,2019 12 06 22:02:00.0,-,201258.062657124,452787.132831042,-,-,-,-,-,-,-,-,-
3000000,CDFH3301062006000003,20061220,-,1,영업/정상,13,영업중,-,-,-,-,02 733 0114,-,-,서울특별시 종로구 내수동 72번지 경희궁의아침 3단지 ,서울특별시 종로구 사직로8길 34 B2층 (내수동),03174,주 스포짐,20181022094756,U,2018 10 24 02:37:18.0,-,197465.223921125--,452366.613899898--,체력단련장업,사립,-,-,-,-,-,-,-
3000000,CDFH3301062019000005,20191022,-,1,영업/정상,13,영업중,-,-,-,-,02 6370 5154,-,-,서울특별시 종로구 공평동 5 1번지 ,서울특별시 종로구 우정국로 26 센트로폴리스 빌딩 3층 (공평동),03161,센트로폴리스 피트니스,20200210110923,U,2020 02 12 02:40:00.0,-,198481.412657615--,452177.123807393--,체력단련장업,사립,-,1,-,141475.68,-,-,-
3000000,CDFH3301062019000002,20190716,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 종로구 내수동 95번지 경희궁 파크팰리스 ,서울특별시 종로구 사직로8길 20 B1층 109호 (내수동 경희궁 파크팰리스),03174,한상현GYM,20200312132426,U,2020 03 14 02:40:00.0,-,197329.898847331--,452432.501606302--,체력단련장업,사립,-,1,-,41113.24,-,-,-
3200000,CDFH3301062018000008,20181205,-,1,영업/정상,13,영업중,-,-,-,-,02 877 8296,-,-,서울특별시 관악구 봉천동 1685 15,서울특별시 관악구 남부순환로 1909 지하1층 (봉천동),08742,혁짐,20210416091415,U,2020 12 03 23:08:00.0,-,196534.587783352,441771.521576822,-,-,-,-,-,-,-,-,-
3170000,CDFH3301062007000008,20071108,-,1,영업/정상,13,영업중,-,-,-,-,-,-,153833,서울특별시 금천구 독산동 1095 한신상가 4층,서울특별시 금천구 한내로 62 (독산동한신상가 4층),-,마음을 읽어주는 휘트니스,20210111165838,U,2020 11 30 23:03:00.0,-,190140.258408311,439271.814994838,-,-,-,-,-,-,-,-,-
3000000,CDFH3301062016000006,20160812,-,1,영업/정상,13,영업중,-,-,-,-,02 765 4202,-,-,서울특별시 종로구 연건동 28 2번지 학생관5 2층 ,서울특별시 종로구 대학로 103 2층 (연건동 학생관5),03080,필웨이,20170418135305,I,2018 08 31 23:59:59.0,-,199884.542817692--,453159.275389535--,체력단련장업,사립,-,1,-,-,-,-,-
3000000,CDFH3301062016000007,20161028,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 종로구 종로3가 119번지 지하1층 ,서울특별시 종로구 종로 120 지하1층 (종로3가 동영타워),03192,원알엠피트니스,20180326091844,I,2018 08 31 23:59:59.0,-,199135.532973288--,451976.436039296--,체력단련장업,사립,-,1,-,-,-,-,-
3000000,CDFH3301062017000001,20170222,-,1,영업/정상,13,영업중,-,-,-,-,02 395 0653,-,-,서울특별시 종로구 평창동 158 1번지 ,서울특별시 종로구 평창문화로 75 B동 3층 301호 (평창동 글로리아타운),03009,PT.ROOT,20170607113316,I,2018 08 31 23:59:59.0,-,197212.364862058--,456055.205802855--,체력단련장업,사립,-,1,-,1241.28,-,-,-
3000000,CDFH3301062017000002,20171121,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 종로구 내수동 95번지 경희궁 파크팰리스 ,서울특별시 종로구 사직로8길 20 112호 (내수동 경희궁 파크팰리스),03174,몬스터짐 광화문본점,20190412090559,U,2019 04 14 02:40:00.0,-,197329.898847331--,452432.501606302--,체력단련장업,사립,-,1,-,-,-,-,-
3000000,CDFH3301062018000001,20180315,-,1,영업/정상,13,영업중,-,-,-,-,02 396 0653,-,-,서울특별시 종로구 구기동 95 16번지 ,서울특별시 종로구 진흥로22길 8 1 (구기동),03012,피티루트,20180315082903,I,2018 08 31 23:59:59.0,-,196248.34462033-- ,456039.354846116--,체력단련장업,사립,-,1,-,549.01,-,-,-
3000000,CDFH3301062018000002,20180501,-,1,영업/정상,13,영업중,-,-,-,-,02 395 2234,-,-,서울특별시 종로구 평창동 158 1번지 글로리아타운 ,서울특별시 종로구 평창문화로 75 글로리아타운 2층 203~204호 (평창동),03009,로얄EMS.PT,20180501142152,I,2018 08 31 23:59:59.0,-,197212.364862058--,456055.205802855--,체력단련장업,사립,-,-,-,9936,-,-,-
3000000,CDFH3301062019000001,20190114,-,1,영업/정상,13,영업중,-,-,-,-,02 739 9618,-,-,서울특별시 종로구 신문로1가 116번지 에스타워 ,서울특별시 종로구 새문안로 82 에스타워 지하1층 (신문로1가),03185,스포애니 광화문역점,20190114162235,I,2019 01 16 02:20:50.0,-,197626.497681648--,451938.484384565--,체력단련장업,사립,-,-,-,22413.21,-,-,-
3000000,CDFH3301062016000001,20160217,-,1,영업/정상,13,영업중,-,-,-,-,070 7664 9682,-,-,서울특별시 종로구 내수동 95번지 107호,서울특별시 종로구 사직로8길 20 107호 (내수동 파크팰리스),03174,바디밸런스,20160321135841,I,2018 08 31 23:59:59.0,-,197329.898847331--,452432.501606302--,체력단련장업,사립,-,1,-,-,-,-,-
3000000,CDFH3301062016000003,20160314,-,1,영업/정상,13,영업중,-,-,-,-,070 7534 9682,-,-,서울특별시 종로구 사직동 9번지 ,서울특별시 종로구 사직로8길 4 301동 B108호 (사직동 광화문풍림스페이스본),03168,100일 PT 샵,20160314174427,I,2018 08 31 23:59:59.0,-,197181.393301659--,452458.826651573--,체력단련장업,사립,-,1,-,-,-,-,-
3000000,CDFH3301062016000004,20160316,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 종로구 삼청동 12번지 ,서울특별시 종로구 삼청로 135 (삼청동),03049,디앤브이 피트니스,20160321135351,I,2018 08 31 23:59:59.0,-,198298.906169446--,453910.967262018--,체력단련장업,사립,-,1,-,-,-,-,-
3000000,CDFH3301062018000006,20181213,-,1,영업/정상,13,영업중,-,-,-,-,02 722 3770,-,-,서울특별시 종로구 교남동 47번지 ,서울특별시 종로구 경교장1길 15 3층 (교남동),03180,더타임,20200331144734,U,2020 04 02 02:40:00.0,-,196810.084509451--,451797.477709718--,체력단련장업,사립,-,1,-,676.68,-,-,-
3000000,CDFH3301062018000007,20181227,-,1,영업/정상,13,영업중,-,-,-,-,027204720,-,-,서울특별시 종로구 필운동 227번지 ,서울특별시 종로구 사직로 97 7층 (필운동),03041,종로테니스교실,20181227090537,I,2018 12 29 02:20:32.0,-,197245.494046903--,452668.607698393--,체력단련장업,사립,-,1,-,2165.09,-,-,-
3200000,CDFH3301062018000005,20181017,-,1,영업/정상,13,영업중,-,-,-,-,02 858 6703,-,-,서울특별시 관악구 신림동 1666,서울특별시 관악구 시흥대로 548 남문빌딩 2층 (신림동),08768,정피트니스,20201019163052,U,2019 10 30 22:02:00.0,-,191182.000480527,442181.791890078,-,-,-,-,-,-,-,-,-
3000000,CDFH3301062011000001,20110131,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 종로구 사직동 9번지 광화문풍림스페이스본 ,서울특별시 종로구 사직로8길 4 301동 지하2층 (사직동 광화문풍림스페이스본),03168,스페이스본 휘트니스센터,20180130164023,I,2018 08 31 23:59:59.0,-,197181.393301659--,452458.826651573--,체력단련장업,사립,-,-,-,-,-,-,-
3000000,CDFH3301062011000002,20110518,-,1,영업/정상,13,영업중,-,-,-,-,02 924 0251,-,110827,서울특별시 종로구 숭인동 766번지 종로청계힐스테이트 상가 나동 B01호 ,서울특별시 종로구 숭인동길 21 (숭인동),03112,착한휘트니스(신설동점),20200512151555,U,2020 05 14 02:40:00.0,-,201798.834918812--,452637.556986205--,체력단련장업,사립,-,1,-,-,-,-,-
3000000,CDFH3301062014000002,20141106,-,1,영업/정상,13,영업중,-,-,-,-,739 3392,-,110122,서울특별시 종로구 종로2가 19번지 ,서울특별시 종로구 종로 83 (종로2가),03164,휴먼웰니스 피티 짐,20160321143138,I,2018 08 31 23:59:59.0,-,198755.466813833--,452015.067220018--,체력단련장업,사립,-,1,-,-,-,-,-
3000000,CDFH3301062015000002,20150226,-,1,영업/정상,13,영업중,-,-,-,-,02 3414 2077,-,110777,서울특별시 종로구 세종로 100번지 ,서울특별시 종로구 세종대로 178 (세종로 광화문빌딩 west),03154,(재)케이티그룹희망나눔재단 광화문 west,20200304154554,U,2020 03 06 02:40:00.0,-,197982.889600104--,452206.123138933--,체력단련장업,사립,-,2,-,-,-,-,-
3000000,CDFH3301062015000003,20150408,-,1,영업/정상,13,영업중,-,-,-,-,02 725 2711,-,-,서울특별시 종로구 통의동 66번지 ,서울특별시 종로구 자하문로 18 1 지하1층 (통의동),03044,711GYM,20191227172738,U,2019 12 29 02:40:00.0,-,197490.24199476-- ,452816.597229114--,체력단련장업,사립,-,1,-,-,-,-,-
3000000,CDFH3301062015000004,20150415,-,1,영업/정상,13,영업중,-,-,-,-,733 7980,-,110110,서울특별시 종로구 서린동 88번지 관정빌딩 지하2층 ,서울특별시 종로구 청계천로 35 지하2층 (서린동 관정빌딩),03188,스포짐,20190211090403,U,2019 02 13 02:40:00.0,-,198284.392181266--,451901.406014861--,체력단련장업,사립,-,2,-,28115.26,-,-,-
3000000,CDFH3301062018000003,20180813,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 종로구 이화동 21번지 ,서울특별시 종로구 율곡로17길 8 풍임빌딩 2층 (이화동),03100,필라테스.피티.시도하다,20180813092331,I,2018 08 31 23:59:59.0,-,200383.296935137--,452655.39803143-- ,체력단련장업,사립,-,1,-,2208,-,-,-
3000000,CDFH3301062018000004,20180814,-,1,영업/정상,13,영업중,-,-,-,-,027320020,-,-,서울특별시 종로구 견지동 110번지 종로1가 대성 스카이렉스 ,서울특별시 종로구 삼봉로 95 종로1가 대성 스카이렉스 지하1층 비101 112호 (견지동),03150,(주)케이에스스포짐,20180814173213,I,2018 08 31 23:59:59.0,-,198386.829870878--,452237.303784872--,체력단련장업,사립,-,2,-,27448.64,-,-,-
3000000,CDFH3301062018000005,20180829,-,1,영업/정상,13,영업중,-,-,-,-,02 747 1622,-,-,서울특별시 종로구 창신동 23 816번지 창신이수아파트 ,서울특별시 종로구 지봉로 87 지하1층 101호 (창신동 창신이수아파트),03095,클래식바디짐,20180905154912,U,2018 09 05 23:59:59.0,-,201228.579823795--,452855.249637866--,체력단련장업,사립,-,1,-,-,-,-,-
3000000,CDFH3301062010000001,20100218,-,1,영업/정상,13,영업중,-,-,-,-,02 391 3335,-,110846,서울특별시 종로구 평창동 76번지 지하1층 ,서울특별시 종로구 평창24길 12 (평창동),03010,M2 GYM,20160322163852,I,2018 08 31 23:59:59.0,-,197725.951068718--,456251.740629682--,체력단련장업,사립,-,2,-,-,-,-,-
3000000,CDFH3301062016000002,20160222,-,1,영업/정상,13,영업중,-,-,-,-,02 732 1020,-,-,서울특별시 종로구 종로1가 24번지 ,서울특별시 종로구 종로 19 4층 415~416호 (종로1가 르메이에르종로타운),03157,다함PT,20160222135317,I,2018 08 31 23:59:59.0,-,198150.300374121--,452019.212642931--,체력단련장업,사립,-,-,-,-,-,-,-
3000000,CDFH3301062020000005,20200513,-,1,영업/정상,13,영업중,-,-,-,-,02 747 8296,-,-,서울특별시 종로구 내자동 5번지 목천빌딩 ,서울특별시 종로구 사직로 119 목천빌딩 7층 (내자동),03041,홍핏(HONG FIT),20200513091130,I,2020 05 16 00:23:20.0,-,197448.620265418--,452672.128133671--,체력단련장업,사립,-,1,-,1404.2,-,-,-
3000000,CDFH3301062020000003,20200406,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 종로구 소격동 48번지 ,서울특별시 종로구 삼청로 54 3층 (소격동),03053,Wellness K(웰니스 케이),20200406114942,I,2020 04 08 00:23:21.0,-,198238.680070987--,453158.398402281--,체력단련장업,사립,-,2,-,-,-,-,-
3000000,CDFH3301062020000004,20200414,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 종로구 교남동 47 3번지 ,서울특별시 종로구 통일로 158 (교남동),03180,짐피닉스,20200414080457,I,2020 04 16 00:23:21.0,-,196801.190594539--,451789.694049663--,체력단련장업,사립,-,1,-,431.51,-,-,-
3000000,CDFH3301062020000001,20200312,-,1,영업/정상,13,영업중,-,-,-,-,070 8263 1157,-,-,서울특별시 종로구 내수동 167번지 대우빌딩 ,서울특별시 종로구 새문안로3길 30 대우빌딩 114호 (내수동),03173,RUN 광화문,20200312094442,I,2020 03 14 00:23:22.0,-,197567.93800572-- ,452276.454633376--,체력단련장업,사립,-,1,-,69290.02,-,-,-
3000000,CDFH3301062020000002,20200326,-,1,영업/정상,13,영업중,-,-,-,-,02 6353 7712,-,-,서울특별시 종로구 원남동 49 17번지 오라카이 대학로 호텔 ,서울특별시 종로구 율곡로 180 오라카이 대학로 호텔 4층 (원남동),03127,금보개발(주)오라카이 대학로 호텔,20200326145709,I,2020 03 28 00:23:21.0,-,199821.363678095--,452603.475535058--,체력단련장업,사립,-,1,-,19412.5,-,-,-
3010000,CDFH3301061999000002,19990419,-,1,영업/정상,13,영업중,-,-,-,-,-,-,100879,서울특별시 중구 흥인동 13 1번지 ,-,-,뉴)월드스포랜드,20041022133245,I,2018 08 31 23:59:59.0,-,201442.039019479--,451619.845549151--,체력단련장업,사립,0,-,-,-,-,-,-
3010000,CDFH3301062017000003,20170626,-,1,영업/정상,13,영업중,-,-,-,-,02 2038 0117,-,-,-,서울특별시 중구 마른내로 34 (초동 (주)케이티앤지을지로타워),04555,(주)바디스타,20170626093837,I,2018 08 31 23:59:59.0,-,199190.880726593--,451328.700167218--,체력단련장업,사립,-,-,-,-,-,-,-
3010000,CDFH3301062018000001,20180511,-,1,영업/정상,13,영업중,-,-,-,-,02 2275 0776,-,-,서울특별시 중구 충무로3가 49번지 엘크루 메트로시티 ,서울특별시 중구 충무로 13 엘크루 메트로시티 205호 (충무로3가),04554,CM헬스,20180511094236,I,2018 08 31 23:59:59.0,-,199279.677406441--,451120.517700578--,체력단련장업,사립,-,-,-,-,-,-,-
3010000,CDFH3301062016000002,20160503,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,-,서울특별시 중구 다산로36길 지하 53 (신당동),04585,S바디케어프라이빗짐,20160503093414,I,2018 08 31 23:59:59.0,-,201508.033038745--,451026.785607118--,체력단련장업,사립,-,-,-,-,-,-,-
3010000,CDFH3301062018000002,20180511,-,1,영업/정상,13,영업중,-,-,-,-,02 363 0452,-,-,서울특별시 중구 만리동1가 62 7번지 서울역 디오빌 ,서울특별시 중구 만리재로 193 서울역 디오빌 지하층 (만리동1가),04501,피트니스 월드,20180511155447,I,2018 08 31 23:59:59.0,-,197034.02843741-- ,450305.644873169--,체력단련장업,사립,-,-,-,-,-,-,-
3010000,CDFH3301061999000004,19990908,-,1,영업/정상,13,영업중,-,-,-,-,-,-,100874,서울특별시 중구 회현동1가 202 0번지 제일빌딩5층 622호 ,-,-,국제프레야스포츠,20040823104629,I,2018 08 31 23:59:59.0,-,-,-,체력단련장업,사립,0,-,-,-,-,-,-
3010000,CDFH3301062006000002,20060829,-,1,영업/정상,13,영업중,-,-,-,-,02 2128 6800,-,100881,서울특별시 중구 회현동1가 204번지 메사빌딩 13층 1302호,-,-,메사 휘트니스 케어&골프,20060829182958,I,2018 08 31 23:59:59.0,-,198129.435542814--,450900.239718295--,체력단련장업,사립,0,-,-,-,-,-,-
